rank	title	author_name	year	n_citation
379	A technique for orthogonal frequency division multiplexing frequency offset correction	Paul H. Moose	1994	3373
380	Categorization and Representation of Physics Problems by Experts and Novices	Michelene T. H. Chi	1981	6023
381	Performance of optical flow techniques	John L. Barron	1994	6147
382	On the Self-Similar Nature of Ethernet Traffic	Will E. Leland	1994	3212
383	An algorithmic framework for performing collaborative filtering	Jonathan L. Herlocker	1999	3141
384	Priority inheritance protocols: an approach to real-time synchronization	Lui Sha	1990	3016
385	OpenFlow: enabling innovation in campus networks	Nick McKeown	2008	7270
386	OceanStore: an architecture for global-scale persistent storage	John Kubiatowicz	2000	3108
387	Algorithms on Stings, Trees, and Sequences: Computer Science and Computational Biology	Dan Gusfield	1997	5558
388	Multiresolution gray-scale and rotation invariant texture classification with local binary patterns	Timo Ojala	2002	11012
389	Multimodality image registration by maximization of mutual information	Frederik Maes	1997	4745
390	Graph drawing by force-directed placement	Thomas M. J. Fruchterman	1991	1942
391	Techniques for data hiding	Walter Bender	1996	4284
392	Singularity detection and processing with wavelets	Stéphane Mallat	1992	5954
393	A fast learning algorithm for deep belief nets	Geoffrey E. Hinton	2006	6117
394	Bettering operation of Robots by learning	Suguru Arimoto	1984	521
395	Monitors: an operating system structuring concept	C. A. R. Hoare	1974	2413
396	Boosting the margin: a new explanation for the effectiveness of voting methods	Robert E. Schapire	1998	2751
397	Training support vector machines: an application to face detection	Edgar Osuna	1997	2815
398	k -anonymity: a model for protecting privacy	Latanya Sweeney	2002	2258
399	Statistical pattern recognition: a review	Anil K. Jain	2000	7083
400	Gaussian Processes for Machine Learning	Carl Edward Rasmussen	2006	8994
401	The Unified Modeling Language reference manual	James E. Rumbaugh	1998	4878
402	A survey of curve and surface methods in CAGD	Wolfgang Böhm	1984	822
403	Factor graphs and the sum-product algorithm	Frank R. Kschischang	2001	5767
404	A learning algorithm for boltzmann machines	David H. Ackley	1985	3323
405	Missing value estimation methods for DNA microarrays	Olga G. Troyanskaya	2001	2554
406	The Quadtree and Related Hierarchical Data Structures	Hanan Samet	1984	2728
407	Probabilistic roadmaps for path planning in high-dimensional configuration spaces	Lydia E. Kavraki	1996	3994
408	Capacity of fading channels with channel side information	Andrea J. Goldsmith	1997	2141
409	Bro: a system for detecting network intruders in real-time	Vern Paxson	1999	2919
410	Fast Effective Rule Induction	William W. Cohen	1995	4138
411	Algorithms for the Vehicle Routing and Scheduling Problems with Time Window Constraints	Marius M. Solomon	1987	3237
412	The diameter of the world wide web	Réka Albert	1999	5273
413	Networks on chips: a new SoC paradigm	L. Benini	2002	4360
414	Texture features for browsing and retrieval of image data	B. S. Manjunath	1996	4437
415	Future paths for integer programming and links to artificial intelligence	Fred Glover	1986	4399
416	Algorithms in combinatorial geometry	Herbert Edelsbrunner	1987	2734
417	Contextual Design: Defining Customer-Centered Systems	Hugh Beyer	1997	945
418	Optimizing search engines using clickthrough data	Thorsten Joachims	2002	3913
419	Wattch: a framework for architectural-level power analysis and optimizations	David M. Brooks	2000	3306
420	Impulse radio: how it works	Moe Z. Win	1998	2545
421	Usability inspection methods	Jakob Nielsen	1994	3978
422	Improvising Organizational Transformation Over Time: A Situated Change Perspective	Wanda J. Orlikowski	1996	2226
423	Sorting networks and their applications	Kenneth E. Batcher	1968	2021
424	Object Detection with Discriminatively Trained Part-Based Models	Pedro F. Felzenszwalb	2010	5620
425	Capacity of a mobile multiple-antenna communication link in Rayleigh flat fading	Thomas L. Marzetta	1999	1560
426	Consensus seeking in multiagent systems under dynamically changing interaction topologies	Wei Ren	2005	3882
427	Algorithm 97: Shortest path	Robert W. Floyd	1962	1616
428	Context-Aware Computing Applications	Bill N. Schilit	1994	4656
429	Watersheds in digital spaces: an efficient algorithm based on immersion simulations	Luc Vincent	1991	3740
430	A Linear-Time Heuristic for Improving Network Partitions	Charles M. Fiduccia	1982	3258
431	An introduction to variable and feature selection	Isabelle Guyon	2003	9685
432	The Digitization of Word of Mouth: Promise and Challenges of Online Feedback Mechanisms	Chrysanthos Dellarocas	2003	3330
433	Comparing images using the Hausdorff distance	Daniel P. Huttenlocher	1993	3801
434	Information flow and cooperative control of vehicle formations	J.A. Fax	2004	1101
435	Knowledge Acquisition Via Incremental Conceptual Clustering	Douglas H. Fisher	1987	2667
436	Illumination for computer generated pictures	Bui Tuong Phong	1975	1962
437	A massively parallel architecture for a self-organizing neural pattern recognition machine	Gail A. Carpenter	1987	2904
438	Machine learning in automated text categorization	Fabrizio Sebastiani	2002	2709
439	A New Learning Algorithm for Blind Signal Separation	Shun-ichi Amari	1996	2711
440	Web caching and Zipf-like distributions: evidence and implications	Lee Breslau	1999	3225
441	Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach	Eckart Zitzler	1999	6457
442	Scale-space filtering: A new approach to multi-scale description	Andrew P. Witkin	1984	515
443	Similarity relations and fuzzy orderings	Lotfi A. Zadeh	1971	2590
444	Profile hidden Markov models.	Sean R. Eddy	1998	4412
445	What is Twitter, a social network or a news media?	Haewoon Kwak	2010	5980
446	An introduction to kernel-based learning algorithms	Klaus-Robert Müller	2001	3634
447	A survey of models, analysis tools and compensation methods for the control of machines with friction	Brian Armstrong-Hélouvry	1994	2338
448	Estimation of probabilities from sparse data for the language model component of a speech recognizer	Slava M. Katz	1987	748
449	Timing attacks on implementations of diffie-hellman, rsa, dss, and other systems	Paul C. Kocher	1998	3550
450	Petri Nets	James L. Peterson	1977	3621
451	The traveling-salesman problem and minimum spanning trees: Part II	Michael Held	1971	1454
452	A tutorial on support vector regression	Alexander J. Smola	2004	7651
453	Simplifying decision trees	J. R. Quinlan	1999	2086
454	Class-based n -gram models of natural language	Peter F. Brown	1992	2912
455	Support vector machine classification and validation of cancer tissue samples using microarray expression data	Terrence S. Furey	2000	2444
456	Principal warps: thin-plate splines and the decomposition of deformations	Fred L. Bookstein	1989	2871
457	The ellipsoid method and its consequences in combinatorial optimization	Martin Grötschel	1981	2051
458	Multiuser OFDM with adaptive subcarrier, bit, and power allocation	Cheong Yui Wong	1999	3395
459	A Fast and High Quality Multilevel Scheme for Partitioning Irregular Graphs	George Karypis	1998	4641
460	MIPS: a database for genomes and protein sequences	Hans-Werner Mewes	1999	1145
461	Multifrequency channel decompositions of images and wavelet models	Stéphane Mallat	1989	2958
462	Mining and summarizing customer reviews	Minqing Hu	2004	5061
463	Computational geometry: algorithms and applications	Mark de Berg	1997	8573
464	Simplified processing for high spectral efficiency wireless communication employing multi-element arrays	Gerard J. Foschini	1999	1389
465	Shape and motion from image streams under orthography: a factorization method	Carlo Tomasi	1992	3309
466	The macroscopic behavior of the TCP congestion avoidance algorithm	M. Mathis	1997	1914
467	Linear multiuser detectors for synchronous code-division multiple-access channels	Ruxandra Lupas	1989	2123
468	Example-based learning for view-based human face detection	Kah Kay Sung	1998	2234
469	Generalizing the Hough transform to detect arbitrary shapes	Dana H. Ballard	1981	5071
470	Routing of multipoint connections	Bernard M. Waxman	1988	3426
471	A re-examination of text categorization methods	Yiming Yang	1999	3566
472	System R: relational approach to database management	Morton M. Astrahan	1976	395
473	Energy conserving routing in wireless ad-hoc networks	Jae-Hwan Chang	2000	2156
474	Bilateral filtering for gray and color images	Carlo Tomasi	1998	6962
475	Trust and TAM in online shopping: an integrated model	David Gefen	2003	6307
476	A Greedy Heuristic for the Set-Covering Problem	Vasek Chvátal	1979	2876
477	The design and implementation of INGRES	Michael Stonebraker	1976	539
478	Improved boosting algorithms using confidence-rated predictions	Robert E. Schapire	1998	2375
479	Probabilistic visual learning for object representation	Baback Moghaddam	1997	2047
480	Adaptive pattern recognition and neural networks	Yoh-Han Pao	1989	2813
481	Light field rendering	Marc Levoy	1996	3854
482	Generalization as search	Tom M. Mitchell	1982	1919
483	Progressive meshes	Hugues Hoppe	1996	4356
484	How to Own the Internet in Your Spare Time	Stuart Staniford	2002	1242
485	Improved approximation algorithms for maximum cut and satisfiability problems using semidefinite programming	Michel X. Goemans	1995	3077
486	Message equivocality, media selection and manager performance: implications for information systems	Richard L. Daft	1987	2630
487	An overview of the KL-ONE knowledge representation system	Ronald J. Brachman	1985	2225
488	The case research strategy in studies of information systems	Izak Benbasat	1987	5991
489	OFDM channel estimation by singular value decomposition	Ove Edfors	1996	1965
490	Laplacian Eigenmaps for dimensionality reduction and data representation	Mikhail Belkin	2003	5361
491	Charging and rate control for elastic traffic	Frank P. Kelly	1997	3076
492	Kernel Methods for Pattern Analysis	John Shawe-Taylor	2003	4655
493	Shape modeling with front propagation: a level set approach	Ravikanth Malladi	1995	4096
494	A Structural Approach to Operational Semantics	Gordon D. Plotkin	2004	4307
495	Adaptive protocols for information dissemination in wireless sensor networks	Wendi Rabiner Heinzelman	1999	3328
496	Cryptography and data security	Dorothy E. Denning	1982	2799
497	Edge and Curve Detection for Visual Scene Analysis	Azriel Rosenfeld	1971	222
498	The capacity of low-density parity-check codes under message-passing decoding	Thomas Richardson	2001	3356
499	The systems biology markup language (SBML) : a medium for representation and exchange of biochemical network models	Michael Hucka	2003	2717
500	Multilevel inverters: a survey of topologies, controls, and applications	Jose Rodriguez	2002	5428
501	Fuzzy basis functions, universal approximation, and orthogonal least-squares learning	Li-Xin Wang	1992	2437
502	Content-based image retrieval at the end of the early years	Arnold W. M. Smeulders	2000	7154
503	A language modeling approach to information retrieval	Jay M. Ponte	1998	2996
504	Entropy-based algorithms for best basis selection	Ronald R. Coifman	1992	3931
505	A statistical approach to machine translation	Peter F. Brown	1990	1604
506	BER sensitivity of OFDM systems to carrier frequency offset and Wiener phase noise	Thierry Pollet	1995	1497
507	Sequential Operations in Digital Picture Processing	Azriel Rosenfeld	1966	1323
508	Image quality assessment: from error visibility to structural similarity	Zhou Wang	2004	15479
509	Texture synthesis by non-parametric sampling	Alexei A. Efros	1999	3196
510	A set of principles for conducting and evaluating interpretive field studies in information systems	Heinz K. Klein	1999	5257
511	Approximate nearest neighbors: towards removing the curse of dimensionality	Piotr Indyk	1998	3420
512	The BSD packet filter: a new architecture for user-level packet capture	Steven McCanne	1993	1094
513	A volumetric method for building complex models from range images	Brian Curless	1996	2604
514	Cone Trees: animated 3D visualizations of hierarchical information	George G. Robertson	1991	1852
515	Perceived usefulness, ease of use, and usage of information technology: a replication	Dennis A. Adams	1992	4154
